date,TICKER,PRC,RET,SHROUT,MV_USD,MV_USD_lag
2021-03-31,AIV,6.14,0.289916,149208.0,916137.12,708602.1599999999
2021-04-30,AIV,6.94,0.130293,149208.0,1035503.52,916137.12
2021-05-28,AIV,7.05,0.01585,150066.0,1057965.3,1035503.52
2021-06-30,AIV,6.71,-0.048227,150066.0,1006942.86,1057965.3
2021-07-30,AIV,6.96,0.037258,150066.0,1044459.36,1006942.86
2021-08-31,AIV,7.18,0.031609,149663.0,1074580.34,1044459.36
2021-09-30,AIV,6.85,-0.045961,149663.0,1025191.55,1074580.34
2021-10-29,AIV,7.58,0.106569,149663.0,1134445.54,1025191.55
2021-11-30,AIV,7.41,-0.022427,152238.0,1128083.58,1134445.54
2021-12-31,AIV,7.72,0.041835,152238.0,1175277.36,1128083.58
2020-01-31,AMT,231.74001,0.008354,442940.0,102646920.0294,101796475.2294
2020-02-28,AMT,226.8,-0.021317,442912.0,100452441.6,102646920.0294
2020-03-31,AMT,217.75,-0.039903,442912.0,96444088.0,100452441.6
2020-04-30,AMT,238.0,0.097956,443306.0,105506828.0,96444088.0
2020-05-29,AMT,258.17001,0.084748,443306.0,114448314.45306,105506828.0
2020-06-30,AMT,258.54001,0.005694,443306.0,114612337.67306,114448314.45306
2020-07-31,AMT,261.39001,0.011023,443568.0,115944243.95568,114612337.67306
2020-08-31,AMT,249.14999,-0.046827,443571.0,110515710.21429,115944243.95568
2020-09-30,AMT,241.73,-0.025206,443571.0,107224417.83,110515710.21429
2020-10-30,AMT,229.64999,-0.049973,444213.0,102013511.00787,107224417.83
2020-11-30,AMT,231.2,0.006749,444213.0,102702045.6,102013511.00787
2020-12-31,AMT,224.46001,-0.023919,444213.0,99708054.42213,102702045.6
2021-01-29,AMT,227.36,0.01292,444213.0,100996267.68,99708054.42213
2021-02-26,AMT,216.13,-0.049393,444384.0,96044713.92,100996267.68
2021-03-31,AMT,239.06,0.106094,444384.0,106234439.04,96044713.92
2021-04-30,AMT,254.77,0.070903,444797.0,113320931.69,106234439.04
